# Prime knot PD codes for K3..K11.
# K3..K10: prime-link-knot-10 0.0.5 (MIT).
# K11: Spherogram 2.4.1 Hoste-Thistlethwaite table, shifted to 1-based labels.
K9n3|[[2,9,3,10],[3,16,4,17],[5,1,6,18],[6,12,7,11],[8,1,9,2],[10,14,11,13],[12,8,13,7],[15,4,16,5],[17,15,18,14]]
K9n4|[[2,9,3,10],[3,16,4,17],[5,1,6,18],[7,12,8,13],[8,1,9,2],[11,6,12,7],[13,10,14,11],[15,4,16,5],[17,15,18,14]]
K9n5|[[2,10,3,9],[3,14,4,15],[6,17,7,18],[8,11,9,12],[10,2,11,1],[13,4,14,5],[15,13,16,12],[16,7,17,8],[18,5,1,6]]
K9n6|[[1,15,2,14],[4,17,5,18],[6,16,7,15],[8,4,9,3],[10,5,11,6],[12,8,13,7],[13,3,14,2],[16,11,17,12],[18,10,1,9]]
K9n7|[[1,10,2,11],[3,14,4,15],[6,17,7,18],[9,2,10,3],[11,9,12,8],[13,4,14,5],[15,13,16,12],[16,7,17,8],[18,5,1,6]]
K9n8|[[1,15,2,14],[4,12,5,11],[6,16,7,15],[7,3,8,2],[10,18,11,17],[12,4,13,3],[13,9,14,8],[16,6,17,5],[18,10,1,9]]
K10a1|[[2,11,3,12],[4,20,5,19],[6,18,7,17],[8,16,9,15],[10,14,11,13],[12,1,13,2],[14,10,15,9],[16,8,17,7],[18,6,19,5],[20,4,1,3]]
K10a2|[[1,13,2,12],[3,14,4,15],[5,3,6,2],[7,17,8,16],[9,19,10,18],[11,1,12,20],[13,4,14,5],[15,7,16,6],[17,9,18,8],[19,11,20,10]]
K10a3|[[2,10,3,9],[4,17,5,18],[6,15,7,16],[8,4,9,3],[10,2,11,1],[12,20,13,19],[14,7,15,8],[16,5,17,6],[18,14,19,13],[20,12,1,11]]
K10a4|[[2,13,3,14],[4,11,5,12],[6,20,7,19],[8,18,9,17],[10,16,11,15],[12,1,13,2],[14,3,15,4],[16,10,17,9],[18,8,19,7],[20,6,1,5]]
K10a5|[[2,13,3,14],[4,17,5,18],[6,16,7,15],[8,6,9,5],[10,19,11,20],[12,1,13,2],[14,3,15,4],[16,8,17,7],[18,9,19,10],[20,11,1,12]]
K10a6|[[2,11,3,12],[4,16,5,15],[6,18,7,17],[8,20,9,19],[10,14,11,13],[12,1,13,2],[14,10,15,9],[16,6,17,5],[18,8,19,7],[20,4,1,3]]
K10a7|[[1,12,2,13],[3,15,4,14],[5,19,6,18],[7,17,8,16],[9,1,10,20],[11,2,12,3],[13,11,14,10],[15,9,16,8],[17,7,18,6],[19,5,20,4]]
K10a8|[[1,12,2,13],[3,10,4,11],[5,15,6,14],[7,17,8,16],[9,19,10,18],[11,2,12,3],[13,20,14,1],[15,7,16,6],[17,9,18,8],[19,5,20,4]]
K10a9|[[1,13,2,12],[3,16,4,17],[5,14,6,15],[7,3,8,2],[9,19,10,18],[11,1,12,20],[13,4,14,5],[15,6,16,7],[17,9,18,8],[19,11,20,10]]
K10a10|[[1,11,2,10],[3,18,4,19],[5,16,6,17],[7,14,8,15],[9,13,10,12],[11,3,12,2],[13,20,14,1],[15,6,16,7],[17,4,18,5],[19,8,20,9]]
K10a11|[[2,15,3,16],[4,13,5,14],[6,2,7,1],[8,18,9,17],[10,20,11,19],[12,5,13,6],[14,3,15,4],[16,12,17,11],[18,10,19,9],[20,8,1,7]]
